id,date,raw_material_id,name,category,purchase_type,stock_used,unit,current_stock
47,2025-03-17,RM008,Air Mineral,Air,bulk,322,ml,4799
48,2025-01-23,RM008,Air Mineral,Air,bulk,62,ml,4514
49,2025-01-31,RM014,Nanas,Buah,daily,140,gram,2635
50,2025-04-16,RM008,Air Mineral,Air,bulk,957,ml,5821
51,2025-01-06,RM013,Mangga,Buah,daily,810,gram,3698
52,2025-03-06,RM004,Sirup Vanilla,Sirup,bulk,495,ml,2303
53,2025-01-03,RM018,Wortel,Sayuran,daily,922,gram,2410
54,2025-01-15,RM001,Kopi Arabika,Kopi,bulk,412,gram,4479
55,2025-01-13,RM016,Tomat,Sayuran,daily,457,gram,3540
56,2025-04-08,RM005,Sirup Cokelat,Sirup,bulk,450,ml,1610
57,2025-05-21,RM013,Mangga,Buah,daily,684,gram,3729
58,2025-02-20,RM016,Tomat,Sayuran,daily,787,gram,4757
59,2025-03-12,RM009,Whipping Cream,Susu,bulk,550,ml,1146
60,2025-01-14,RM009,Whipping Cream,Susu,bulk,841,ml,3774
61,2025-04-06,RM009,Whipping Cream,Susu,bulk,763,ml,3505
62,2025-03-14,RM016,Tomat,Sayuran,daily,498,gram,4423
63,2025-03-05,RM011,Pisang,Buah,daily,892,gram,4779
64,2025-01-27,RM004,Sirup Vanilla,Sirup,bulk,519,ml,2750
65,2025-01-11,RM009,Whipping Cream,Susu,bulk,488,ml,5178
66,2025-04-27,RM009,Whipping Cream,Susu,bulk,860,ml,1604
67,2025-01-22,RM019,Daging Ayam,Daging,daily,133,gram,2748
68,2025-03-23,RM014,Nanas,Buah,daily,515,gram,4148
69,2025-04-28,RM019,Daging Ayam,Daging,daily,421,gram,4946
70,2025-04-20,RM001,Kopi Arabika,Kopi,bulk,258,gram,2103
71,2025-02-10,RM015,Selada,Sayuran,daily,317,gram,2937
72,2025-04-29,RM008,Air Mineral,Air,bulk,765,ml,3271
73,2025-02-01,RM016,Tomat,Sayuran,daily,536,gram,3987
74,2025-02-26,RM016,Tomat,Sayuran,daily,299,gram,2292
75,2025-03-23,RM012,Stroberi,Buah,daily,104,gram,2875
76,2025-05-15,RM017,Mentimun,Sayuran,daily,93,gram,4597
77,2025-01-21,RM003,Gula Pasir,Gula,bulk,353,gram,4365
78,2025-05-15,RM020,Daging Sapi,Daging,daily,648,gram,4220
79,2025-01-20,RM006,Matcha Powder,Teh,bulk,178,gram,1584
80,2025-02-01,RM019,Daging Ayam,Daging,daily,687,gram,2538
81,2025-04-17,RM005,Sirup Cokelat,Sirup,bulk,684,ml,5079
82,2025-01-22,RM016,Tomat,Sayuran,daily,311,gram,1478
83,2025-05-08,RM012,Stroberi,Buah,daily,455,gram,4749
84,2025-02-02,RM013,Mangga,Buah,daily,976,gram,2457
85,2025-03-12,RM020,Daging Sapi,Daging,daily,468,gram,1100
86,2025-01-26,RM002,Susu UHT,Susu,bulk,91,ml,594
87,2025-05-05,RM007,Espresso Blend,Kopi,bulk,65,gram,2692
88,2025-01-04,RM008,Air Mineral,Air,bulk,911,ml,2576
89,2025-04-21,RM014,Nanas,Buah,daily,224,gram,2475
90,2025-03-27,RM003,Gula Pasir,Gula,bulk,954,gram,5174
91,2025-04-25,RM003,Gula Pasir,Gula,bulk,993,gram,3696
92,2025-05-17,RM006,Matcha Powder,Teh,bulk,625,gram,1976
93,2025-01-24,RM010,Cokelat Bubuk,Cokelat,bulk,584,gram,1274
94,2025-04-09,RM009,Whipping Cream,Susu,bulk,994,ml,4934
95,2025-05-12,RM018,Wortel,Sayuran,daily,635,gram,2587
96,2025-04-21,RM020,Daging Sapi,Daging,daily,251,gram,3837
97,2025-05-04,RM015,Selada,Sayuran,daily,641,gram,3910
98,2025-03-25,RM006,Matcha Powder,Teh,bulk,376,gram,2089
99,2025-02-17,RM016,Tomat,Sayuran,daily,271,gram,4293
100,2025-04-03,RM016,Tomat,Sayuran,daily,445,gram,1942
101,2025-04-22,RM020,Daging Sapi,Daging,daily,627,gram,3085
102,2025-03-26,RM008,Air Mineral,Air,bulk,963,ml,4115
103,2025-04-14,RM004,Sirup Vanilla,Sirup,bulk,147,ml,3862
104,2025-04-13,RM001,Kopi Arabika,Kopi,bulk,796,gram,4381
105,2025-04-28,RM009,Whipping Cream,Susu,bulk,921,ml,3553
106,2025-02-01,RM017,Mentimun,Sayuran,daily,875,gram,2250
107,2025-02-11,RM010,Cokelat Bubuk,Cokelat,bulk,540,gram,4516
108,2025-05-18,RM003,Gula Pasir,Gula,bulk,966,gram,5030
109,2025-04-08,RM020,Daging Sapi,Daging,daily,334,gram,3687
110,2025-04-25,RM017,Mentimun,Sayuran,daily,453,gram,2563
111,2025-04-18,RM009,Whipping Cream,Susu,bulk,829,ml,2900
112,2025-02-06,RM013,Mangga,Buah,daily,145,gram,3062
113,2025-05-03,RM013,Mangga,Buah,daily,676,gram,5350
114,2025-05-20,RM020,Daging Sapi,Daging,daily,343,gram,4309
115,2025-04-06,RM009,Whipping Cream,Susu,bulk,525,ml,2892
116,2025-04-03,RM008,Air Mineral,Air,bulk,228,ml,1198
117,2025-05-03,RM007,Espresso Blend,Kopi,bulk,589,gram,3403
118,2025-03-07,RM015,Selada,Sayuran,daily,444,gram,4995
119,2025-05-14,RM004,Sirup Vanilla,Sirup,bulk,82,ml,663
120,2025-01-18,RM002,Susu UHT,Susu,bulk,709,ml,3663
121,2025-02-27,RM008,Air Mineral,Air,bulk,622,ml,2807
122,2025-05-01,RM004,Sirup Vanilla,Sirup,bulk,417,ml,2605
123,2025-03-06,RM015,Selada,Sayuran,daily,556,gram,1811
124,2025-03-21,RM008,Air Mineral,Air,bulk,195,ml,1589
125,2025-02-14,RM006,Matcha Powder,Teh,bulk,363,gram,2562
126,2025-01-03,RM002,Susu UHT,Susu,bulk,431,ml,4283
127,2025-01-28,RM005,Sirup Cokelat,Sirup,bulk,684,ml,4395
128,2025-04-12,RM010,Cokelat Bubuk,Cokelat,bulk,151,gram,3468
129,2025-04-15,RM015,Selada,Sayuran,daily,820,gram,2571
130,2025-04-29,RM004,Sirup Vanilla,Sirup,bulk,709,ml,1721
131,2025-03-03,RM014,Nanas,Buah,daily,366,gram,2171
132,2025-02-01,RM006,Matcha Powder,Teh,bulk,661,gram,5512
133,2025-04-03,RM017,Mentimun,Sayuran,daily,206,gram,894
134,2025-01-25,RM014,Nanas,Buah,daily,483,gram,3343
135,2025-03-18,RM017,Mentimun,Sayuran,daily,607,gram,1819
136,2025-03-31,RM015,Selada,Sayuran,daily,279,gram,2731
137,2025-02-22,RM019,Daging Ayam,Daging,daily,557,gram,2369
138,2025-01-15,RM020,Daging Sapi,Daging,daily,811,gram,1835
139,2025-04-17,RM011,Pisang,Buah,daily,402,gram,925
140,2025-04-18,RM002,Susu UHT,Susu,bulk,411,ml,1078
141,2025-02-06,RM019,Daging Ayam,Daging,daily,411,gram,2439
142,2025-04-30,RM014,Nanas,Buah,daily,704,gram,3051
143,2025-05-09,RM010,Cokelat Bubuk,Cokelat,bulk,323,gram,3362
144,2025-03-03,RM019,Daging Ayam,Daging,daily,232,gram,1382
145,2025-01-11,RM007,Espresso Blend,Kopi,bulk,618,gram,1716
146,2025-03-06,RM009,Whipping Cream,Susu,bulk,588,ml,4960
147,2025-03-07,RM003,Gula Pasir,Gula,bulk,510,gram,2557
148,2025-01-17,RM010,Cokelat Bubuk,Cokelat,bulk,120,gram,2646
149,2025-03-23,RM017,Mentimun,Sayuran,daily,710,gram,1890
150,2025-04-25,RM012,Stroberi,Buah,daily,128,gram,2681
151,2025-03-24,RM005,Sirup Cokelat,Sirup,bulk,147,ml,724
152,2025-05-06,RM020,Daging Sapi,Daging,daily,732,gram,2505
153,2025-05-21,RM003,Gula Pasir,Gula,bulk,607,gram,3763
154,2025-04-19,RM008,Air Mineral,Air,bulk,478,ml,2920
155,2025-02-06,RM002,Susu UHT,Susu,bulk,588,ml,2811
156,2025-05-05,RM012,Stroberi,Buah,daily,143,gram,2507
157,2025-02-20,RM012,Stroberi,Buah,daily,980,gram,1829
158,2025-02-09,RM005,Sirup Cokelat,Sirup,bulk,554,ml,1771
159,2025-02-13,RM015,Selada,Sayuran,daily,560,gram,3866
160,2025-04-23,RM017,Mentimun,Sayuran,daily,236,gram,1844
161,2025-03-09,RM011,Pisang,Buah,daily,950,gram,2945
162,2025-03-27,RM007,Espresso Blend,Kopi,bulk,399,gram,2680
163,2025-05-13,RM013,Mangga,Buah,daily,528,gram,2168
164,2025-01-15,RM009,Whipping Cream,Susu,bulk,168,ml,4871
165,2025-05-19,RM009,Whipping Cream,Susu,bulk,66,ml,4347
166,2025-04-01,RM006,Matcha Powder,Teh,bulk,754,gram,1553
167,2025-02-24,RM017,Mentimun,Sayuran,daily,294,gram,3799
168,2025-02-12,RM017,Mentimun,Sayuran,daily,75,gram,1589
169,2025-04-14,RM008,Air Mineral,Air,bulk,530,ml,1573
170,2025-04-17,RM011,Pisang,Buah,daily,967,gram,2427
171,2025-04-24,RM004,Sirup Vanilla,Sirup,bulk,234,ml,835
172,2025-04-28,RM003,Gula Pasir,Gula,bulk,165,gram,2514
173,2025-01-28,RM006,Matcha Powder,Teh,bulk,664,gram,1465
174,2025-03-02,RM009,Whipping Cream,Susu,bulk,882,ml,2857
175,2025-01-22,RM009,Whipping Cream,Susu,bulk,404,ml,1986
176,2025-01-09,RM019,Daging Ayam,Daging,daily,937,gram,5864
177,2025-02-05,RM001,Kopi Arabika,Kopi,bulk,584,gram,1179
178,2025-01-17,RM013,Mangga,Buah,daily,410,gram,1429
179,2025-02-04,RM019,Daging Ayam,Daging,daily,451,gram,2629
180,2025-01-21,RM010,Cokelat Bubuk,Cokelat,bulk,578,gram,2557
181,2025-02-27,RM005,Sirup Cokelat,Sirup,bulk,83,ml,984
182,2025-01-20,RM001,Kopi Arabika,Kopi,bulk,521,gram,5339
183,2025-01-04,RM003,Gula Pasir,Gula,bulk,510,gram,4872
184,2025-03-24,RM007,Espresso Blend,Kopi,bulk,694,gram,1987
185,2025-01-10,RM016,Tomat,Sayuran,daily,646,gram,1915
186,2025-03-14,RM009,Whipping Cream,Susu,bulk,142,ml,3737
187,2025-01-09,RM007,Espresso Blend,Kopi,bulk,514,gram,1662
188,2025-05-01,RM009,Whipping Cream,Susu,bulk,101,ml,4623
189,2025-03-24,RM003,Gula Pasir,Gula,bulk,250,gram,2208
190,2025-04-11,RM006,Matcha Powder,Teh,bulk,357,gram,2335
191,2025-05-14,RM011,Pisang,Buah,daily,789,gram,4506
192,2025-01-04,RM014,Nanas,Buah,daily,200,gram,2128
193,2025-05-12,RM004,Sirup Vanilla,Sirup,bulk,281,ml,1547
194,2025-01-18,RM005,Sirup Cokelat,Sirup,bulk,59,ml,948
195,2025-03-24,RM009,Whipping Cream,Susu,bulk,605,ml,4643
196,2025-05-19,RM006,Matcha Powder,Teh,bulk,223,gram,795
197,2025-01-01,RM003,Gula Pasir,Gula,bulk,618,gram,4446
198,2025-02-09,RM020,Daging Sapi,Daging,daily,543,gram,3466
199,2025-02-24,RM011,Pisang,Buah,daily,250,gram,3558
200,2025-04-21,RM009,Whipping Cream,Susu,bulk,672,ml,2706
201,2025-01-11,RM018,Wortel,Sayuran,daily,395,gram,2443
202,2025-01-10,RM008,Air Mineral,Air,bulk,399,ml,2596
203,2025-02-27,RM009,Whipping Cream,Susu,bulk,453,ml,961
204,2025-05-08,RM004,Sirup Vanilla,Sirup,bulk,700,ml,4667
205,2025-01-29,RM016,Tomat,Sayuran,daily,533,gram,4004
206,2025-04-24,RM003,Gula Pasir,Gula,bulk,50,gram,4490
207,2025-05-16,RM006,Matcha Powder,Teh,bulk,314,gram,3409
208,2025-04-25,RM016,Tomat,Sayuran,daily,417,gram,1884
209,2025-05-02,RM010,Cokelat Bubuk,Cokelat,bulk,531,gram,4989
210,2025-03-15,RM005,Sirup Cokelat,Sirup,bulk,943,ml,3861
211,2025-04-15,RM013,Mangga,Buah,daily,537,gram,2805
212,2025-02-17,RM004,Sirup Vanilla,Sirup,bulk,610,ml,5200
213,2025-03-31,RM012,Stroberi,Buah,daily,276,gram,3865
214,2025-05-02,RM012,Stroberi,Buah,daily,104,gram,4738
215,2025-05-03,RM013,Mangga,Buah,daily,795,gram,3822
216,2025-04-15,RM016,Tomat,Sayuran,daily,136,gram,3585
217,2025-02-20,RM016,Tomat,Sayuran,daily,885,gram,2853
218,2025-01-01,RM013,Mangga,Buah,daily,533,gram,2383
219,2025-05-12,RM004,Sirup Vanilla,Sirup,bulk,145,ml,4583
220,2025-05-06,RM016,Tomat,Sayuran,daily,717,gram,5019
221,2025-04-07,RM001,Kopi Arabika,Kopi,bulk,146,gram,3620
222,2025-04-09,RM016,Tomat,Sayuran,daily,437,gram,5213
223,2025-01-10,RM017,Mentimun,Sayuran,daily,887,gram,5055
224,2025-01-03,RM017,Mentimun,Sayuran,daily,660,gram,4478
225,2025-05-03,RM020,Daging Sapi,Daging,daily,271,gram,1549
226,2025-05-15,RM018,Wortel,Sayuran,daily,518,gram,5291
227,2025-03-27,RM016,Tomat,Sayuran,daily,517,gram,5140
228,2025-01-11,RM001,Kopi Arabika,Kopi,bulk,952,gram,3435
229,2025-05-17,RM014,Nanas,Buah,daily,552,gram,3418
230,2025-02-02,RM003,Gula Pasir,Gula,bulk,682,gram,5293
231,2025-03-16,RM012,Stroberi,Buah,daily,759,gram,5360
232,2025-04-28,RM007,Espresso Blend,Kopi,bulk,359,gram,1596
233,2025-02-11,RM011,Pisang,Buah,daily,930,gram,5259
234,2025-02-11,RM009,Whipping Cream,Susu,bulk,371,ml,4580
235,2025-01-06,RM003,Gula Pasir,Gula,bulk,738,gram,1319
236,2025-03-30,RM007,Espresso Blend,Kopi,bulk,408,gram,3574
237,2025-03-17,RM010,Cokelat Bubuk,Cokelat,bulk,1000,gram,5787
238,2025-05-14,RM006,Matcha Powder,Teh,bulk,190,gram,1622
239,2025-02-15,RM010,Cokelat Bubuk,Cokelat,bulk,930,gram,1645
240,2025-03-16,RM004,Sirup Vanilla,Sirup,bulk,293,ml,3745
241,2025-02-09,RM005,Sirup Cokelat,Sirup,bulk,402,ml,1607
242,2025-01-10,RM018,Wortel,Sayuran,daily,876,gram,5593
243,2025-04-25,RM005,Sirup Cokelat,Sirup,bulk,664,ml,4214
244,2025-05-03,RM011,Pisang,Buah,daily,995,gram,2180
245,2025-01-17,RM006,Matcha Powder,Teh,bulk,274,gram,1911
246,2025-02-22,RM019,Daging Ayam,Daging,daily,197,gram,4945
247,2025-05-13,RM011,Pisang,Buah,daily,656,gram,4287
248,2025-03-02,RM008,Air Mineral,Air,bulk,565,ml,2520
249,2025-04-20,RM013,Mangga,Buah,daily,696,gram,2491
250,2025-03-08,RM013,Mangga,Buah,daily,858,gram,5685
251,2025-02-25,RM012,Stroberi,Buah,daily,203,gram,4264
252,2025-05-17,RM016,Tomat,Sayuran,daily,189,gram,1724
253,2025-03-25,RM015,Selada,Sayuran,daily,350,gram,2734
254,2025-02-21,RM010,Cokelat Bubuk,Cokelat,bulk,642,gram,2522
255,2025-03-21,RM013,Mangga,Buah,daily,866,gram,5174
256,2025-04-28,RM011,Pisang,Buah,daily,558,gram,5440
257,2025-03-20,RM008,Air Mineral,Air,bulk,266,ml,4699
258,2025-04-05,RM011,Pisang,Buah,daily,327,gram,1385
259,2025-03-29,RM014,Nanas,Buah,daily,558,gram,1377
260,2025-03-13,RM009,Whipping Cream,Susu,bulk,357,ml,4350
261,2025-01-05,RM008,Air Mineral,Air,bulk,519,ml,3491
262,2025-03-07,RM007,Espresso Blend,Kopi,bulk,635,gram,4277
263,2025-04-02,RM014,Nanas,Buah,daily,823,gram,2716
264,2025-04-29,RM007,Espresso Blend,Kopi,bulk,572,gram,3711
265,2025-04-08,RM015,Selada,Sayuran,daily,963,gram,2978
266,2025-01-19,RM004,Sirup Vanilla,Sirup,bulk,893,ml,3155
267,2025-04-02,RM013,Mangga,Buah,daily,224,gram,4033
268,2025-01-27,RM011,Pisang,Buah,daily,858,gram,5628
269,2025-03-04,RM018,Wortel,Sayuran,daily,579,gram,2180
270,2025-01-14,RM017,Mentimun,Sayuran,daily,226,gram,1569
271,2025-01-28,RM002,Susu UHT,Susu,bulk,947,ml,5020
272,2025-03-12,RM013,Mangga,Buah,daily,456,gram,3729
273,2025-04-25,RM003,Gula Pasir,Gula,bulk,723,gram,3175
274,2025-05-11,RM009,Whipping Cream,Susu,bulk,755,ml,1441
275,2025-04-18,RM015,Selada,Sayuran,daily,615,gram,5222
276,2025-05-19,RM020,Daging Sapi,Daging,daily,79,gram,852
277,2025-01-03,RM011,Pisang,Buah,daily,947,gram,5759
278,2025-04-14,RM010,Cokelat Bubuk,Cokelat,bulk,387,gram,2835
279,2025-04-16,RM013,Mangga,Buah,daily,194,gram,1847
280,2025-03-22,RM009,Whipping Cream,Susu,bulk,147,ml,762
281,2025-04-19,RM015,Selada,Sayuran,daily,363,gram,1033
282,2025-02-21,RM019,Daging Ayam,Daging,daily,498,gram,3623
283,2025-03-21,RM004,Sirup Vanilla,Sirup,bulk,797,ml,3561
284,2025-04-18,RM008,Air Mineral,Air,bulk,391,ml,4261
285,2025-01-31,RM003,Gula Pasir,Gula,bulk,382,gram,4728
286,2025-02-09,RM001,Kopi Arabika,Kopi,bulk,138,gram,2287
287,2025-01-19,RM009,Whipping Cream,Susu,bulk,297,ml,3502
288,2025-02-15,RM002,Susu UHT,Susu,bulk,929,ml,1480
289,2025-05-09,RM006,Matcha Powder,Teh,bulk,954,gram,5726
290,2025-02-07,RM005,Sirup Cokelat,Sirup,bulk,438,ml,939
291,2025-02-15,RM005,Sirup Cokelat,Sirup,bulk,98,ml,3613
292,2025-05-18,RM005,Sirup Cokelat,Sirup,bulk,545,ml,2508
293,2025-04-30,RM013,Mangga,Buah,daily,129,gram,1836
294,2025-03-24,RM018,Wortel,Sayuran,daily,854,gram,5022
295,2025-03-28,RM016,Tomat,Sayuran,daily,193,gram,2999
296,2025-03-09,RM006,Matcha Powder,Teh,bulk,80,gram,3809
297,2025-02-27,RM004,Sirup Vanilla,Sirup,bulk,575,ml,5304
298,2025-04-08,RM012,Stroberi,Buah,daily,902,gram,2844
299,2025-03-19,RM004,Sirup Vanilla,Sirup,bulk,291,ml,2655
300,2025-02-16,RM003,Gula Pasir,Gula,bulk,561,gram,1529
301,2025-01-09,RM012,Stroberi,Buah,daily,131,gram,4034
302,2025-05-04,RM014,Nanas,Buah,daily,947,gram,2607
303,2025-01-18,RM008,Air Mineral,Air,bulk,258,ml,2559
304,2025-02-05,RM008,Air Mineral,Air,bulk,562,ml,2347
305,2025-05-21,RM016,Tomat,Sayuran,daily,207,gram,3430
306,2025-05-17,RM003,Gula Pasir,Gula,bulk,325,gram,4099
307,2025-01-03,RM016,Tomat,Sayuran,daily,382,gram,4862
308,2025-03-30,RM009,Whipping Cream,Susu,bulk,670,ml,2392
309,2025-03-04,RM012,Stroberi,Buah,daily,718,gram,1431
310,2025-02-17,RM003,Gula Pasir,Gula,bulk,150,gram,3040
311,2025-01-13,RM013,Mangga,Buah,daily,806,gram,4420
312,2025-04-06,RM011,Pisang,Buah,daily,849,gram,3141
313,2025-03-18,RM016,Tomat,Sayuran,daily,967,gram,3694
314,2025-03-21,RM005,Sirup Cokelat,Sirup,bulk,825,ml,5376
315,2025-04-15,RM003,Gula Pasir,Gula,bulk,116,gram,1103
316,2025-05-21,RM020,Daging Sapi,Daging,daily,930,gram,4454
317,2025-03-18,RM011,Pisang,Buah,daily,211,gram,1021
318,2025-04-18,RM016,Tomat,Sayuran,daily,274,gram,2961
319,2025-01-11,RM016,Tomat,Sayuran,daily,633,gram,1755
320,2025-01-19,RM005,Sirup Cokelat,Sirup,bulk,881,ml,4341
321,2025-03-29,RM006,Matcha Powder,Teh,bulk,919,gram,2198
322,2025-02-09,RM005,Sirup Cokelat,Sirup,bulk,816,ml,5555
323,2025-04-21,RM012,Stroberi,Buah,daily,663,gram,1615
324,2025-03-10,RM012,Stroberi,Buah,daily,681,gram,1928
325,2025-02-27,RM001,Kopi Arabika,Kopi,bulk,691,gram,5204
326,2025-01-21,RM001,Kopi Arabika,Kopi,bulk,112,gram,903
327,2025-05-09,RM006,Matcha Powder,Teh,bulk,839,gram,1681
328,2025-04-28,RM018,Wortel,Sayuran,daily,382,gram,1417
329,2025-05-04,RM001,Kopi Arabika,Kopi,bulk,661,gram,1354
330,2025-03-05,RM004,Sirup Vanilla,Sirup,bulk,610,ml,4037
331,2025-04-08,RM002,Susu UHT,Susu,bulk,364,ml,4869
332,2025-01-14,RM007,Espresso Blend,Kopi,bulk,610,gram,5325
333,2025-02-13,RM012,Stroberi,Buah,daily,60,gram,3133
334,2025-02-07,RM014,Nanas,Buah,daily,391,gram,4954
335,2025-01-14,RM019,Daging Ayam,Daging,daily,246,gram,4787
336,2025-03-11,RM002,Susu UHT,Susu,bulk,623,ml,3782
337,2025-03-19,RM003,Gula Pasir,Gula,bulk,825,gram,1725
338,2025-04-21,RM007,Espresso Blend,Kopi,bulk,971,gram,3501
339,2025-01-27,RM003,Gula Pasir,Gula,bulk,473,gram,5428
340,2025-04-12,RM008,Air Mineral,Air,bulk,645,ml,2810
341,2025-05-04,RM008,Air Mineral,Air,bulk,223,ml,4997
342,2025-05-05,RM013,Mangga,Buah,daily,482,gram,1549
343,2025-02-22,RM004,Sirup Vanilla,Sirup,bulk,218,ml,3053
344,2025-03-09,RM001,Kopi Arabika,Kopi,bulk,398,gram,4192
345,2025-02-26,RM001,Kopi Arabika,Kopi,bulk,769,gram,2755
346,2025-01-04,RM012,Stroberi,Buah,daily,76,gram,1952
347,2025-03-04,RM019,Daging Ayam,Daging,daily,827,gram,5366
348,2025-02-28,RM017,Mentimun,Sayuran,daily,353,gram,2438
349,2025-03-14,RM002,Susu UHT,Susu,bulk,727,ml,5285
350,2025-03-14,RM018,Wortel,Sayuran,daily,700,gram,1521
351,2025-01-21,RM018,Wortel,Sayuran,daily,731,gram,4860
352,2025-05-13,RM017,Mentimun,Sayuran,daily,554,gram,3368
353,2025-01-03,RM018,Wortel,Sayuran,daily,87,gram,3372
354,2025-03-10,RM020,Daging Sapi,Daging,daily,503,gram,2431
355,2025-04-11,RM006,Matcha Powder,Teh,bulk,530,gram,1974
356,2025-04-25,RM013,Mangga,Buah,daily,241,gram,1960
357,2025-05-04,RM017,Mentimun,Sayuran,daily,952,gram,2055
358,2025-04-25,RM018,Wortel,Sayuran,daily,820,gram,4036
359,2025-05-06,RM003,Gula Pasir,Gula,bulk,964,gram,5151
360,2025-02-06,RM020,Daging Sapi,Daging,daily,209,gram,4120
361,2025-04-05,RM006,Matcha Powder,Teh,bulk,527,gram,1480
362,2025-05-15,RM009,Whipping Cream,Susu,bulk,950,ml,4141
363,2025-02-08,RM013,Mangga,Buah,daily,785,gram,4641
364,2025-02-17,RM014,Nanas,Buah,daily,767,gram,5366
365,2025-02-02,RM015,Selada,Sayuran,daily,667,gram,5350
366,2025-04-30,RM015,Selada,Sayuran,daily,144,gram,2555
367,2025-01-19,RM010,Cokelat Bubuk,Cokelat,bulk,184,gram,2416
368,2025-05-14,RM019,Daging Ayam,Daging,daily,376,gram,3835
369,2025-03-30,RM015,Selada,Sayuran,daily,858,gram,4644
370,2025-03-17,RM006,Matcha Powder,Teh,bulk,941,gram,2087
371,2025-05-06,RM013,Mangga,Buah,daily,519,gram,3289
372,2025-04-28,RM014,Nanas,Buah,daily,612,gram,1743
373,2025-05-16,RM011,Pisang,Buah,daily,651,gram,5376
374,2025-03-11,RM006,Matcha Powder,Teh,bulk,237,gram,4630
375,2025-05-14,RM019,Daging Ayam,Daging,daily,243,gram,3139
376,2025-03-19,RM006,Matcha Powder,Teh,bulk,858,gram,3174
377,2025-01-23,RM004,Sirup Vanilla,Sirup,bulk,66,ml,4694
378,2025-01-21,RM011,Pisang,Buah,daily,630,gram,3967
379,2025-04-17,RM018,Wortel,Sayuran,daily,222,gram,3493
380,2025-04-15,RM005,Sirup Cokelat,Sirup,bulk,609,ml,1864
381,2025-02-28,RM020,Daging Sapi,Daging,daily,214,gram,4595
382,2025-05-17,RM020,Daging Sapi,Daging,daily,407,gram,5370
383,2025-02-18,RM007,Espresso Blend,Kopi,bulk,561,gram,4551
384,2025-02-08,RM008,Air Mineral,Air,bulk,807,ml,5271
385,2025-03-03,RM009,Whipping Cream,Susu,bulk,58,ml,4674
